CO1,CO2,orig,t1
45.68,46.05,-0.008067197,-0.008067197
45.57,45.95,-0.008304244,-0.008067197
45.59,45.96,-0.008083059,-0.008304244
45.57,45.96,-0.008521848,-0.008083059
45.58,45.97,-0.008519986,-0.008521848
45.54,45.92,-0.008309691,-0.008519986
45.51,45.89,-0.008315146,-0.008309691
45.5,45.89,-0.008534902,-0.008315146
45.55,45.94,-0.008525574,-0.008534902
45.61,45.97,-0.007862019,-0.008525574
45.6,45.99,-0.008516265,-0.007862019
45.6,45.99,-0.008516265,-0.008516265
45.65,46.05,-0.008724156,-0.008516265
45.68,46.07,-0.008501414,-0.008724156
45.68,46.07,-0.008501414,-0.008501414
45.73,46.11,-0.008275309,-0.008501414
45.71,46.11,-0.008712754,-0.008275309
45.74,46.11,-0.008056658,-0.008712754
45.75,46.11,-0.007838054,-0.008056658
45.76,46.12,-0.007836348,-0.007838054
45.72,46.09,-0.008060168,-0.007836348
45.7,46.07,-0.008063681,-0.008060168
45.7,46.07,-0.008063681,-0.008063681
45.75,46.13,-0.008271706,-0.008063681
45.74,46.12,-0.008273507,-0.008271706
45.78,46.14,-0.007832938,-0.008273507
45.76,46.13,-0.00805315,-0.007832938
45.78,46.14,-0.007832938,-0.00805315
45.76,46.15,-0.008486614,-0.007832938
45.74,46.11,-0.008056658,-0.008486614
45.79,46.16,-0.008047896,-0.008056658
45.82,46.18,-0.007826127,-0.008047896
45.82,46.18,-0.007826127,-0.007826127
45.78,46.16,-0.008266308,-0.007826127
45.79,46.17,-0.00826451,-0.008266308
45.77,46.16,-0.008484768,-0.00826451
45.73,46.12,-0.008492158,-0.008484768
45.76,46.15,-0.008486614,-0.008492158
45.77,46.17,-0.008701382,-0.008486614
45.8,46.18,-0.008262713,-0.008701382
45.82,46.21,-0.008475548,-0.008262713
45.82,46.2,-0.008259121,-0.008475548
45.75,46.14,-0.008488461,-0.008259121
45.8,46.18,-0.008262713,-0.008488461
45.81,46.2,-0.00847739,-0.008262713
45.83,46.22,-0.008473706,-0.00847739
45.89,46.27,-0.008246575,-0.008473706
45.86,46.24,-0.008251947,-0.008246575
45.85,46.23,-0.008253739,-0.008251947
45.86,46.24,-0.008251947,-0.008253739
45.79,46.17,-0.00826451,-0.008251947
45.78,46.15,-0.008049646,-0.00826451
45.81,46.19,-0.008260917,-0.008049646
45.71,46.07,-0.007844887,-0.008260917
45.68,46.06,-0.008284329,-0.007844887
45.74,46.13,-0.008490309,-0.008284329
45.72,46.1,-0.008277111,-0.008490309
45.8,46.17,-0.008046145,-0.008277111
45.81,46.17,-0.007827829,-0.008046145
45.81,46.17,-0.007827829,-0.007827829
45.82,46.17,-0.007609559,-0.007827829
45.85,46.2,-0.007604599,-0.007609559
45.81,46.17,-0.007827829,-0.007604599
45.88,46.22,-0.007383313,-0.007827829
45.84,46.19,-0.007606252,-0.007383313
45.85,46.2,-0.007604599,-0.007606252
45.85,46.22,-0.008037406,-0.007604599
45.86,46.21,-0.007602947,-0.008037406
45.88,46.24,-0.007815932,-0.007602947
45.88,46.24,-0.007815932,-0.007815932
45.87,46.22,-0.007601296,-0.007815932
45.88,46.24,-0.007815932,-0.007601296
45.88,46.24,-0.007815932,-0.007815932
45.87,46.23,-0.007817629,-0.007815932
45.84,46.2,-0.007822726,-0.007817629
45.85,46.21,-0.007821026,-0.007822726
45.83,46.18,-0.007607905,-0.007821026
45.79,46.16,-0.008047896,-0.007607905
45.77,46.14,-0.008051398,-0.008047896
45.76,46.12,-0.007836348,-0.008051398
45.77,46.12,-0.007617841,-0.007836348
45.86,46.21,-0.007602947,-0.007617841
46.09,46.44,-0.00756515,-0.007602947
46.06,46.42,-0.007785506,-0.00756515
46.05,46.41,-0.007787191,-0.007785506
45.99,46.35,-0.00779731,-0.007787191
46.12,46.48,-0.007775417,-0.00779731
46.19,46.54,-0.007548833,-0.007775417
46.11,46.47,-0.007777097,-0.007548833
46.07,46.43,-0.007783823,-0.007777097
46.01,46.4,-0.008440695,-0.007783823
45.89,46.28,-0.008462674,-0.008440695
45.69,46.11,-0.009150391,-0.008462674
45.91,46.31,-0.008674962,-0.009150391
45.9,46.3,-0.008676844,-0.008674962
45.85,46.25,-0.008686265,-0.008676844
45.91,46.32,-0.008890875,-0.008686265
45.9,46.31,-0.008892803,-0.008890875
45.9,46.31,-0.008892803,-0.008892803
45.92,46.33,-0.008888947,-0.008892803
45.85,46.26,-0.008902458,-0.008888947
45.86,46.26,-0.008684379,-0.008902458
45.65,46.07,-0.009158372,-0.008684379
45.65,46.07,-0.009158372,-0.009158372
45.67,46.07,-0.008720352,-0.009158372
45.73,46.14,-0.008925715,-0.008720352
45.73,46.13,-0.00870896,-0.008925715
45.67,46.08,-0.008937389,-0.00870896
45.66,46.06,-0.008722253,-0.008937389
45.72,46.12,-0.008710856,-0.008722253
45.58,46,-0.009172373,-0.008710856
45.62,46.03,-0.008947141,-0.009172373
45.61,46.03,-0.009166367,-0.008947141
45.6,46.02,-0.009168368,-0.009166367
45.66,46.08,-0.009156375,-0.009168368
45.65,46.06,-0.008941287,-0.009156375
45.67,46.07,-0.008720352,-0.008941287
45.69,46.1,-0.008933494,-0.008720352
45.67,46.1,-0.009371323,-0.008933494
45.73,46.17,-0.009575699,-0.009371323
45.76,46.19,-0.009352977,-0.009575699
45.77,46.2,-0.009350943,-0.009352977
45.76,46.18,-0.009136457,-0.009350943
45.91,46.32,-0.008890875,-0.009136457
45.71,46.14,-0.00936316,-0.008890875
45.79,46.23,-0.009563211,-0.00936316
45.79,46.21,-0.009130498,-0.009563211
45.79,46.21,-0.009130498,-0.009130498
45.79,46.21,-0.009130498,-0.009130498
45.77,46.2,-0.009350943,-0.009130498
45.9,46.3,-0.008676844,-0.009350943
45.88,46.31,-0.009328628,-0.008676844
45.91,46.32,-0.008890875,-0.009328628
45.9,46.34,-0.009540402,-0.008890875
45.93,46.36,-0.00931852,-0.009540402
45.88,46.31,-0.009328628,-0.00931852
45.92,46.34,-0.009104767,-0.009328628
45.93,46.36,-0.00931852,-0.009104767
45.93,46.37,-0.0095342,-0.00931852
45.94,46.37,-0.009316501,-0.0095342
45.93,46.39,-0.00996542,-0.009316501
45.96,46.39,-0.009312466,-0.00996542
45.96,46.39,-0.009312466,-0.009312466
45.97,46.4,-0.009310449,-0.009312466
