,CL1,CL2,CL3,CL4,CL5,CO1,CO2,CO3,CO4,CO5,HO1,HO2,HO3,HO4,HO5,XB1,XB2,XB3,XB4,XB5,QS1,QS2,QS3,QS4,QS5
1/01/2014,98.42,98.55,98.44,97.99,97.28,110.8,110.53,110.27,109.92,109.5,307.72,306.52,305.38,304.35,303.39,278.58,278.59,279.19,296.1,295.35,944.25,943.5,941.75,938.75,935
2/01/2014,95.44,95.62,95.55,95.2,94.63,107.78,107.6,107.4,107.13,106.82,298.67,297.33,296.22,295.33,294.47,269.5,270.87,288.6,288.18,285.63,923.5,923,922,919.75,916.5
3/01/2014,93.96,94.14,94.06,93.75,93.24,106.89,106.54,106.24,105.9,105.56,293.94,292.56,291.43,290.7,290.02,264.88,266.33,284.27,283.91,281.52,910.25,909.25,907.5,904.75,901.75
6/01/2014,93.43,93.58,93.52,93.29,92.84,106.73,106.42,106.17,105.91,105.64,293.88,292.45,291.37,290.62,290.01,264.6,265.99,283.98,283.68,281.4,910.25,909,907,904.25,901.5
7/01/2014,93.67,93.84,93.71,93.39,92.84,107.35,106.99,106.72,106.42,106.11,295.93,294.13,292.81,291.93,291.17,267.86,268.75,286.08,285.68,283.18,910.5,909,907,904.25,901.25
8/01/2014,92.33,92.53,92.47,92.2,91.71,107.15,106.71,106.41,106.11,105.79,294.94,293.22,291.92,291.09,290.43,265.63,266.83,284.58,284.26,281.86,912.25,910.75,908.25,905.25,902.25
9/01/2014,91.66,91.89,91.89,91.69,91.29,106.39,105.96,105.7,105.45,105.18,292.14,290.54,289.33,288.6,288.11,264.26,265.52,283.3,283.04,280.7,907.25,906,904,901,898.25
10/01/2014,92.72,92.95,92.92,92.68,92.24,107.25,106.61,106.28,105.99,105.68,294.07,292.34,291,290.19,289.68,266.91,267.97,285.47,285.11,282.72,907.25,899.5,897.25,894.5,892
13/01/2014,91.8,92.01,91.97,91.74,91.35,106.75,105.97,105.58,105.27,104.96,293.33,291.27,289.58,288.64,288.13,263.41,264.7,282.67,282.46,280.3,907,903.75,900,896.75,894.5
14/01/2014,92.59,92.78,92.66,92.32,91.85,106.39,105.6,105.25,104.97,104.68,293.63,290.98,289.07,287.88,287.28,262.24,263.53,281.59,281.4,279.36,900.25,896.25,892.25,889,887.25
15/01/2014,94.17,94.35,94.2,93.77,93.18,107.13,106.27,105.95,105.67,105.37,297.96,294.12,292.05,290.79,290.16,262.64,264.2,282.45,282.34,280.3,913.75,908.75,904,900.25,897.75
16/01/2014,93.96,94.1,93.92,93.48,92.89,107.09,105.75,105.31,104.96,104.62,298.45,293.45,290.91,289.48,288.75,259.51,261.09,279.49,279.44,277.53,907.5,902.5,898,894.25,891.75
17/01/2014,94.37,94.59,94.44,94.03,93.45,106.48,105.94,105.53,105.16,104.81,302.37,295.4,292.13,290.51,289.79,262.04,263.09,281.01,280.82,278.76,916.25,910.25,905.5,901.25,898.5
20/01/2014,94.37,94.59,94.44,94.03,93.45,106.35,105.68,105.23,104.84,104.49,302.37,295.4,292.13,290.51,289.79,262.04,263.09,281.01,280.82,278.76,907.75,902.25,897.5,893.5,890.75
21/01/2014,94.99,94.97,94.8,94.4,93.8,106.73,106.05,105.64,105.27,104.9,301.47,295.11,292.1,290.63,289.89,262.06,263.34,281.44,281.32,279.26,919,912.75,907.25,902.75,899.5
22/01/2014,96.73,96.37,95.82,95.09,94.23,108.27,107.51,107.02,106.59,106.18,303.79,298.12,295.3,293.73,292.86,267.71,268.82,286.68,286.4,284.13,919,913.75,909.5,905.75,903
23/01/2014,97.32,96.76,95.95,95.05,94.1,107.58,106.92,106.48,106.09,105.7,307.65,299.1,295.2,293.22,292.16,266.18,266.97,284.72,284.52,282.34,922.5,917.25,912.5,908,904.75
24/01/2014,96.64,96.22,95.56,94.76,93.88,107.88,107.19,106.72,106.31,105.91,313.74,301.58,296.39,293.94,292.7,266.32,267.06,284.74,284.52,282.41,921.75,915.25,909.25,904.5,901
27/01/2014,95.72,95.36,94.74,93.97,93.12,106.69,106.03,105.6,105.24,104.88,309.24,296.67,292.66,291.12,290.19,262.17,263.29,281.5,281.38,279.36,914.5,908.5,903,899,896
28/01/2014,97.41,96.96,96.28,95.46,94.54,107.41,106.86,106.48,106.13,105.76,312.18,299.39,295.23,293.52,292.49,262.78,263.76,282.4,282.38,280.46,917.5,912.5,908.25,904.75,902
29/01/2014,97.36,96.88,96.19,95.38,94.47,107.85,107.24,106.78,106.37,105.96,318.16,302.04,296.94,294.67,293.37,266.09,266.86,284.73,284.53,282.41,923.75,917.75,912.25,908.25,904.75
30/01/2014,98.23,97.66,96.85,95.93,94.95,107.95,107.3,106.82,106.39,105.97,321.7,302.75,297.08,294.81,293.57,266.26,267.43,285.5,285.25,283.04,924,918.5,913.5,909.25,905.75
31/01/2014,97.49,96.71,95.8,94.85,93.87,106.4,105.81,105.37,104.97,104.58,327.94,299.71,293.57,291.4,290.16,262.72,263.14,281.33,281.25,279.24,917,911.75,906.5,902.5,899
3/02/2014,96.43,95.72,94.9,94.02,93.13,106.04,105.39,104.91,104.49,104.1,300.75,293.54,291.16,289.85,288.96,260.69,279.57,279.57,277.75,275.04,903,898,893.25,889.75,887
4/02/2014,97.19,96.46,95.64,94.75,93.85,105.78,105.17,104.73,104.35,103.99,298.29,291.26,289.26,288.27,287.6,260.31,279.31,279.3,277.42,274.67,906.25,901.75,897.25,893.5,890.5
5/02/2014,97.38,96.76,96.02,95.22,94.4,106.25,105.66,105.29,104.96,104.61,299.68,293.17,291.19,290.32,289.71,264.13,282.69,282.54,280.45,277.53,899,896,893,890,887.5
